eventID	eventDate	year	month	day	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	verbatimLocality	locality	waterBody	eventTime	eventRemarks	samplingProtocol	reportedWeather	time_start	time_stop	Sea State (BF)	Cloud cover (%)	Vessel speed (nm)
T2 TOPP_01	2024-02-07	2024	2	7	-53.0850	-66.6384	3906	LINESTRING (-66.5800 -53.0833, -66.6967 -53.0867)			Magellanic Area	19:30Z/20:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		19:30	20:00		60	9
T2 TOPP_05	2024-02-07	2024	2	7	-53.0233	-65.0717	4399	LINESTRING (-65.0150 -53.0433, -65.1283 -53.0033)			Magellanic Area	21:30Z/22:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		21:30	22:00		20	9
T2 TOPP_06	2024-02-07	2024	2	7	-53.9850	-65.1783	109332	LINESTRING (-65.1283 -53.0033, -65.2283 -54.9667)			Magellanic Area	22:00Z/22:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		22:00	22:30		20	8
T2 TOPP_07	2024-02-08	2024	2	8	-54.1084	-65.6333	929	LINESTRING (-65.6333 -54.1167, -65.6333 -54.1000)			Cape Horn area	09:00Z/09:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		09:00	09:30	6	100	
T2 TOPP_08	2024-02-08	2024	2	8	-54.0750	-65.6500	2989	LINESTRING (-65.6333 -54.1000, -65.6667 -54.0500)			Cape Horn area	09:30Z/10:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		09:30	10:00	6	100	
T2 TOPP_09	2024-02-08	2024	2	8	-55.0250	-65.6750	108537	LINESTRING (-65.6667 -54.0500, -65.6833 -56.0000)			Cape Horn area	10:00Z/10:30Z	Rain	Top predators (page 80) https://doi.org/10.5281/zenodo.11653689	rain	10:00	10:30	6	90	
T2 TOPP_10	2024-02-08	2024	2	8	-55.2083	-65.9342	2783	LINESTRING (-65.9333 -55.2333, -65.9350 -55.1833)			Drake Passage	17:30Z/18:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		17:30	18:00	 	90	7.5
T2 TOPP_11	2024-02-08	2024	2	8	-55.1525	-65.9450	3487	LINESTRING (-65.9350 -55.1833, -65.9550 -55.1217)			Drake Passage	18:00Z/18:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		18:00	18:30		95	7.5
T2 TOPP_12	2024-02-08	2024	2	8	-55.0958	-65.9658	2959	LINESTRING (-65.9550 -55.1217, -65.9767 -55.0700)			Drake Passage	18:30Z/19:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		18:30	19:00		100	6.7
T2 TOPP_13	2024-02-08	2024	2	8	-56.0333	-64.9975	123699	LINESTRING (-65.9767 -55.0700, -64.0183 -56.9967)			Drake Passage	19:00Z/19:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		19:00	19:30		100	7
T2 TOPP_14	2024-02-08	2024	2	8	-56.9700	-64.0325	3094	LINESTRING (-64.0183 -56.9967, -64.0467 -56.9433)			Drake Passage	19:30Z/20:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		19:30	20:00		100	7.7
T2 TOPP_15	2024-02-08	2024	2	8	-56.9058	-64.0692	4393	LINESTRING (-64.0467 -56.9433, -64.0917 -56.8683)			Drake Passage	20:00Z/20:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		20:00	20:30		100	7.7
T2 TOPP_16	2024-02-08	2024	2	8	-56.8458	-64.1034	2603	LINESTRING (-64.0917 -56.8683, -64.1150 -56.8233)			Drake Passage	20:30Z/21:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		20:30	21:00		100	8
T2 TOPP_17	2024-02-08	2024	2	8	-56.7841	-64.1300	4453	LINESTRING (-64.1150 -56.8233, -64.1450 -56.7450)			Drake Passage	21:00Z/21:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		21:00	21:30		100	8
T2 TOPP_18	2024-02-08	2024	2	8	-56.7116	-64.1425	3715	LINESTRING (-64.1450 -56.7450, -64.1400 -56.6783)			Drake Passage	21:30Z/22:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		21:30	22:00		100	8
T2 TOPP_19	2024-02-08	2024	2	8	-56.6508	-64.1392	3061	LINESTRING (-64.1400 -56.6783, -64.1383 -56.6233)			Drake Passage	22:00Z/22:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		22:00	22:30		100	8
T2 TOPP_2	2024-02-07	2024	2	7	-53.0825	-66.7542	3873	LINESTRING (-66.6967 -53.0867, -66.8117 -53.0783)			Magellanic Area	20:00Z/20:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		20:00	20:30		60	9
T2 TOPP_20	2024-02-09	2024	2	9	-58.0208	-64.5883	107147	LINESTRING (-64.5750 -57.0583, -64.6017 -58.9833)			Drake Passage	10:00Z/10:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		10:00	10:30		100	8.6
T2 TOPP_20	2024-02-09	2024	2	9	-58.9508	-64.6142	3688	LINESTRING (-64.6017 -58.9833, -64.6267 -58.9183)			Drake Passage	10:30Z/11:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		10:30	11:00		95	8.2
T2 TOPP_21	2024-02-09	2024	2	9	-58.9508	-64.6142	3688	LINESTRING (-64.6017 -58.9833, -64.6267 -58.9183)			Drake Passage	10:30Z/11:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		10:30	11:00		95	8.2
T2 TOPP_22	2024-02-09	2024	2	9	-58.8941	-64.6375	2759	LINESTRING (-64.6267 -58.9183, -64.6483 -58.8700)			Drake Passage	11:00Z/11:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		11:00	11:30		50	7.8
T2 TOPP_23	2024-02-09	2024	2	9	-58.8375	-64.6633	3719	LINESTRING (-64.6483 -58.8700, -64.6783 -58.8050)			Drake Passage	11:30Z/12:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		11:30	12:00		80	7.7
T2 TOPP_24	2024-02-09	2024	2	9	-58.7716	-64.6933	3812	LINESTRING (-64.6783 -58.8050, -64.7083 -58.7383)			Drake Passage	12:00Z/12:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		12:00	12:30		100	8
T2 TOPP_25	2024-02-09	2024	2	9	-58.0542	-63.9992	58627	LINESTRING (-64.9933 -58.0767, -63.0050 -58.0317)			Drake Passage	15:30Z/16:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		15:30	16:00		100	7.6
T2 TOPP_26	2024-02-09	2024	2	9	-58.9984	-63.0050	107606	LINESTRING (-63.0050 -58.0317, -63.0050 -59.9650)			Drake Passage	16:00Z/16:30Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		16:00	16:30		100	7.4
T2 TOPP_27	2024-02-09	2024	2	9	-59.9333	-63.0217	3643	LINESTRING (-63.0050 -59.9650, -63.0383 -59.9017)			Drake Passage	16:30Z/17:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		16:30	17:00		100	7.3
T2 TOPP_28	2024-02-10	2024	2	10	-60.1300	-63.8967	2985	LINESTRING (-63.8700 -60.1533, -63.9233 -60.1067)			Drake Passage	09:30Z/10:00Z		Top predators (page 80) https://doi.org/10.5281/zenodo.11653689		09:30	10:00		100	7.4
